Ring_Number	Year	Time_capt_dec	Temperature_capture	Temp_meandaycapture	Temp_previousdaymean	Temp_3daypreviousrunningmean	Temp_mindaycapture	Temp_previousdaymin	Temp_3daypreviousrunningmin	Temp_maxdaycapture	Temp_previousdaymax	Temp_3daypreviousrunningmax	sex	time_measured_CORT0sec	CORT0	time_measured_CORT30	CORT30
C3F8120	2017	9.55	15.2	12.00629167	14.00083333	15.83869444	8.717	11.297	12.467	14.194	17.867	19.276	1	130	2235.12	1730	8407.6
C3F8121	2015	9.25	12.8	13.10691667	17.133625	17.04273611	11.589	14.361	11.05566667	14.936	20.984	22.63933333	2	90	4263.04	1800	18184.488
C3F8122	2015	10.98333333	13.978	12.62425	10.90558333	13.715375	8.319	9.188	11.71266667	16.892	12.534	16.15133333	2	180	22477.196	1800	31210.256
C3F8123	2015	12.45	16.296	12.62425	10.90558333	13.715375	8.319	9.188	11.71266667	16.892	12.534	16.15133333	2	150	5533.68	1800	16306.92
C3F8123	2016	9.75	17.9	15.699125	11.793375	9.609513889	10.565	8.444	6.729666667	20.841	15.724	13.275	2	160	4385.01	1920	26299.4
C3F8123	2017	8.95	18.2	21.62066667	19.68220833	17.78976389	14.697	12.098	10.69933333	27.481	25.793	23.52933333	2	180	6574.11	1740	13106.25
C3F8123	2018	8.416666667	10.8	10.84216667	9.180208333	11.32683333	8.941	8.045	9.548333333	13.377	10.394	13.98333333	2	105	7899.42	1855	26375.3
C3F8123	2019	10.25	14.49	13.687875	11.23058333	10.53819444	10.124	6.737	7.858333333	17.629	15.079	12.97033333	2	85	3026.05	1680	24349.29
C3F8124	2015	12.55	16.296	12.62425	10.90558333	13.715375	8.319	9.188	11.71266667	16.892	12.534	16.15133333	1	240	4548.908	1800	21427.76
C3F8124	2016	9.866666667	18.794	15.699125	11.793375	9.609513889	10.565	8.444	6.729666667	20.841	15.724	13.275	1	NA	NA	NA	NA
C3F8124	2017	8.933333333	10.4	12.0935	9.161791667	8.748791667	3.591	6.408	5.843666667	19.984	13.016	13.31233333	1	110	3583.83	1770	23713.4
C3F8124	2018	9.55	20.4	17.960875	19.97691667	19.65701389	14.433	14.792	14.05733333	24.629	24.363	24.067	1	115	6617.28	1670	30210.35
C3F8125	2015	13.28333333	16.58	12.62425	10.90558333	13.715375	8.319	9.188	11.71266667	16.892	12.534	16.15133333	1	150	6130.56	1800	19046.24
C3F8125	2017	12.66666667	13.005	8.579541667	6.46875	8.018486111	1.398	4.48	6.021666667	15.915	9.089	9.965666667	1	165	4662.03	1905	10363
C3F8126	2015	13.5	16.868	12.62425	10.90558333	13.715375	8.319	9.188	11.71266667	16.892	12.534	16.15133333	2	180	7734.64	1800	28043.0696
C3F8127	2015	8.616666667	10.907	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	1	120	2820.86	1800	20284.74214
C3F8128	2015	9.316666667	11.25	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	2	210	5285.336	1800	34016.4
C3F8128	2016	12.53333333	8.36	5.767125	6.049833333	8.514083333	4.506	4.818	6.782	8.369	7.72	10.388	2	90	7504.65	1980	14279.7
C3F8129	2015	9.316666667	11.25	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	1	150	11965.016	1800	16003.96
C3F8130	2015	10.16666667	12.19	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	1	120	4462.56	1920	5085.36
C3F8130	2016	9.6	15.652	13.53029167	12.93616	12.97105333	11.589	11.54	10.92966667	17.415	14.792	15.32533333	1	100	1641.81	1980	20215.6
C3F8130	2018	11.66666667	16.9	13.88133333	15.30170833	15.03433333	11.783	11.443	10.28	18.01	21.461	20.661	1	170	7496.79	2100	34338.35
C3F8131	2015	10.66666667	12.799	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	2	90	18605.52216	1920	51451.736
C3F8132	2015	9.866666667	16.987	15.249375	12.97375	12.16786111	8.469	10.614	9.373666667	20.412	15.963	15.12966667	1	150	8536.164	1800	28549.976
C3F8133	2015	10.75	18.129	15.249375	12.97375	12.16786111	8.469	10.614	9.373666667	20.412	15.963	15.12966667	2	90	9682.995	1800	43581.04
C3F8133	2016	9.416666667	14.37	13.43716667	12.53983333	14.14325	11.37	9.879	11.45433333	16.32	14.864	18.10433333	2	100	10357.83	1800	29398.95
C3F8134	2015	11.13333333	18.44	15.249375	12.97375	12.16786111	8.469	10.614	9.373666667	20.412	15.963	15.12966667	1	90	8862.336	1800	16602.2
C3F8135	2015	9.8	13.305	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	2	180	14268.16	1800	25540.2
C3F8135	2016	9	6.204	5.767125	6.049833333	8.514083333	4.506	4.818	6.782	8.369	7.72	10.388	2	170	11075.16	2020	19658.85
C3F8135	2016	10.25	19.02	13.96975	13.61379167	13.48595833	11.127	10.418	10.78433333	19.674	17.724	17.034	2	120	4648.77	1800	13634.6
C3F8135	2017	9	15.2	12.00629167	14.00083333	15.83869444	8.717	11.297	12.467	14.194	17.867	19.276	2	150	7084.89	1800	20546.15
C3F8136	2015	11.18333333	14.89	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	1	120	8236.46583	1800	20490.064
C3F8137	2015	11.23333333	14.89	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	2	210	3334.2	1800	4798.93609
C3F8137	2016	8.566666667	15.16	14.30454167	10.87504167	10.33968056	7.268	7.594	7.181666667	20.603	15.247	14.128	2	100	4129.29	1920	8065.4
C3F8137	2016	8.583333333	14.385	14.90608333	13.47370833	18.28655556	11.589	11.734	14.32266667	18.557	15.342	22.78633333	2	113	1631.58	1804	22788.5
C3F8137	2017	8.9	12.4	12.47545833	13.643375	14.27169444	9.657	10.443	10.443	16.058	18.01	19.23066667	2	134	1992.99	NA	NA
C3F8138	2015	12.11666667	15.079	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	1	120	6463.16	1800	14771.61504
C3F8138	2017	9.7	14.7	14.634375	14.374875	9.807722222	10.541	6	3.959333333	20.055	21.987	15.66366667	1	131	4933.2	1725	11102.85
C3F8138	2017	11.6	19.1	17.54016667	18.014875	18.86848611	12.268	14.768	14.562	21.963	21.795	23.789	1	120	8168.58	1800	27973.25
C3F8139	2015	13.21666667	13.11	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	2	90	2448.76	1800	23406.52
C3F8139	2016	9.483333333	16.8	14.30454167	10.87504167	10.33968056	7.268	7.594	7.181666667	20.603	15.247	14.128	2	150	5029.56	1800	10884.95
C3F8139	2017	9.25	8.62	8.579541667	6.46875	8.018486111	1.398	4.48	6.021666667	15.915	9.089	9.965666667	2	180	12616.83	1967	26367.95
C3F8139	2017	9.666666667	18.1	18.28695833	20.060625	19.37281944	15.963	14.984	16.08833333	22.657	24.968	22.828	2	110	2200.86	1860	8832.5
C3F8140	2015	13.26666667	13.11	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	1	120	2201.052	1800	15208.24
C3F8140	2016	12.38333333	8.344	5.767125	6.049833333	8.514083333	4.506	4.818	6.782	8.369	7.72	10.388	1	150	4605.42	1800	19862.3
C3F8168	2015	8.566666667	10.712	12.62425	10.90558333	13.715375	8.319	9.188	11.71266667	16.892	12.534	16.15133333	1	90	3221.932	1800	18571.52
C3F8168	2016	8.666666667	16.38	15.699125	11.793375	9.609513889	10.565	8.444	6.729666667	20.841	15.724	13.275	1	80	1344.81	1860	14424.05
C3F8171	2016	12.25	9.46	7.300958333	5.767125	7.122888889	4.558	4.506	5.337	11.248	8.369	9.177333333	1	120	8525.49	1980	32424.05
C3F8201	2015	12.5	10.565	8.530875	7.148208333	8.642347222	5.282	5.745	7.056333333	11.102	9.336	11.21766667	2	120	9631.09	1800	43581.04
C3F8201	2016	11.35	12.68	10.87504167	8.940583333	9.148319444	7.594	7.645	6.169666667	15.247	11.151	12.795	2	110	4480.885714	NA	NA
C3F8202	2015	9.016666667	9.6	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	1	150	15100.792	1800	41112.92
C3F8202	2016	8.433333333	10.78	10.87504167	8.940583333	9.148319444	7.594	7.645	6.169666667	15.247	11.151	12.795	1	152	6367.32	1920	27317
C3F8202	2017	9.133333333	8.62	9.161791667	8.282375	8.350333333	6.408	4.766	4.64	13.016	14.218	13.497	1	110	5238.36	1885	27840.7
C3F8202	2018	11.1	14.5	10.91895833	13.88133333	15.34188889	8.817	11.783	11.44266667	13.546	18.01	20.62933333	1	105	9833.43	1800	35273.05
C3F8202	2019	10.41666667	10.026	6.787791667	4.320979167	4.187590278	0.934	1.18	1.234666667	12.001	7.343	7.811333333	1	162	5334.84	1920	30544.08
C3F8203	2015	9.233333333	9.952	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	2	150	6780.76	1800	38626.784
C3F8204	2015	10.46666667	10.712	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	2	180	7071.176	1800	18571.52
C3F8205	2015	10.61666667	10.712	8.905333333	8.530875	7.509138889	6.864	5.282	5.573333333	11.832	11.102	9.892	1	150	6183.464	1800	23664.04
C3F8205	2016	12.75	7.268	6.049833333	9.551708333	10.05156944	4.818	6.687	8.106666667	7.72	11.443	12.04066667	1	NA	NA	NA	NA
C3F8205	2017	9.7	16.5	12.47545833	13.643375	14.27169444	9.657	10.443	10.443	16.058	18.01	19.23066667	1	131	11053.02	1730	27440.55
C3F8205	2018	11.86666667	13.2	10.84216667	9.180208333	11.32683333	8.941	8.045	9.548333333	13.377	10.394	13.98333333	1	90	2037.21	1980	37580.7
C3F8218	2016	9.666666667	11.26	10.87504167	8.940583333	9.148319444	7.594	7.645	6.169666667	15.247	11.151	12.795	1	180	5226.33	1980	16703.25
C3F8219	2015	11.63333333	11.953	10.11575	8.905333333	8.194805556	7.268	6.864	5.963666667	13.064	11.832	10.75666667	1	150	4268.376	1800	12380.56
C3F8219	2016	10.78333333	13.209	12.93616	13.43716667	13.12297222	11.54	11.37	10.92966667	14.792	16.32	16.19166667	1	180	6322.08	2040	8374.1
C3F8230	2016	11.36666667	6.408	5.767125	6.049833333	8.514083333	4.506	4.818	6.782	8.369	7.72	10.388	2	90	3106.47	1860	34122.85
C3F8248	2015	10.33333333	12.243	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	1	180	6873.272	1980	36929.96
C3F8249	2015	11.5	13.209	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	1	150	4900.252	1800	5557.048
C3F8249	2016	12.55	15.87	13.43716667	12.53983333	14.14325	11.37	9.879	11.45433333	16.32	14.864	18.10433333	1	100	3677.34	1860	5456.2
C3F8250	2015	11.63333333	13.209	11.78616667	10.11575	9.183986111	9.238	7.268	6.471333333	16.487	13.064	11.99933333	2	120	2984.716	1800	35113.48
C3F8250	2016	12.26666667	15.414	13.43716667	12.53983333	14.14325	11.37	9.879	11.45433333	16.32	14.864	18.10433333	2	90	3251.04	1860	11824.3
C3F8250	2017	8.833333333	14	14.89841667	12.80520833	12.47626389	7.519	8.145	6.781	21.175	17.058	17.12733333	2	87	6401.43	1750	18079.9
C3F8266	2016	12.08333333	13.161	10.87504167	8.940583333	9.148319444	7.594	7.645	6.169666667	15.247	11.151	12.795	1	180	8132.73	1980	36545.45
C3F8315	2017	11.55	11.165	9.161791667	8.282375	8.350333333	6.408	4.766	4.64	13.016	14.218	13.497	2	180	5298.33	1920	12143.75
C3F8353	2015	8.333333333	10.76	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	1	120	7746.396	1800	21207.56
C3F8354	2015	10.41666667	12.799	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	1	148	6792.84	1920	9206.84
C3F8355	2015	10.88333333	12.799	12.97375	12.62425	12.21225	10.614	8.319	9.698666667	15.963	16.892	14.78733333	2	116	4548.908	1710	25536.4
C3F8355	2016	9.95	18.628	16.52391667	13.87120833	13.83829167	10.565	11.953	11.73466667	22.058	16.844	17.47833333	2	95	5665.05	1800	14388.05
C3F8355	2017	10.41666667	9.9	8.579541667	6.46875	8.018486111	1.398	4.48	6.021666667	15.915	9.089	9.965666667	2	170	8147.97	1835	35950.75
C3F8356	2015	10.11666667	17.56	15.249375	12.97375	12.16786111	8.469	10.614	9.373666667	20.412	15.963	15.12966667	1	NA	NA	1800	26706.04
C3F8357	2015	12.61666667	14.146	11.9305	15.249375	13.61579167	9.731	8.469	9.134	15.079	20.412	17.75566667	1	125	3432.61518	1980	7577.32
C3F8357	2016	8.666666667	17.74	15.587875	15.15820833	14.20259722	7.192	6.788	6.145333333	22.011	21.032	20.70633333	1	175	2176.74	1980	7588.2
